obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
157,87.164,92.78,87.164,89.999,9571.738887,861446.9281,0.00990392,0.01016782,0.00997485,0.00993509,1047.26795,10.40470134,
158,89.084,94.385,89.999,94,9169.986282,861978.7105,0.00986,0.0102895,0.00990968,0.01026731,590.1005834,6.058745621,
159,87.358,94.444,94,88.394,6844.704207,605030.7837,0.00985062,0.01029883,0.01028949,0.00989914,1610.339803,15.94097916,
160,73.024,88.166,88.166,73.711,19055.32078,1404586.75,0.00902,0.00995053,0.0099166,0.00919089,2765.910558,25.42117969,
161,67.104,75.72,73.7,73.768,22645.78026,1670533.918,0.00883686,0.00942832,0.00922899,0.00926862,2793.161519,25.88875272,
162,71.403,76.446,73.569,74.728,10081.22572,753349.836,0.00914615,0.00955999,0.00924749,0.00946675,1949.466645,18.45511336,
163,67.156,75.211,74.607,72.15,6818.975693,491989.0962,0.00882761,0.00949087,0.00949087,0.00910083,1110.20968,10.10382956,
164,42.101,72.587,72.15,44.686,52759.05994,2357591.353,0.00796786,0.01022789,0.00910526,0.00918901,12460.42952,114.4990115,
165,33.55,54.794,44.652,51.678,68661.79125,3548304.048,0.00815044,0.0099,0.00910676,0.00920589,10882.83908,100.1862194,
166,45.121,52.779,51.698,46.105,16041.26785,739582.6543,0.00876278,0.00925,0.00918343,0.00890649,3439.115062,30.63044391,
167,45.47,51.987,46.002,47.706,13636.62462,650548.8141,0.00858,0.00904782,0.00889569,0.008886,3384.758506,30.07696409,
168,38.078,47.71,47.708,43.52,22986.82367,1000386.566,0.0084,0.00906984,0.00901679,0.00856517,4578.521045,39.2158111,
169,42.582,47.184,42.998,45.933,13842.70035,635836.7553,0.00840927,0.00869988,0.00856517,0.00844571,3118.795585,26.34044306,
170,45.189,65.5,45.995,63.127,78731.96428,4970112.709,0.00844668,0.012481,0.00850503,0.01168834,17228.26635,201.3698348,
171,56.603,71.229,62.789,65.668,79243.09371,5203735.478,0.01011159,0.01159674,0.01152452,0.01058798,11820.69625,125.1572955,
172,61.126,78.088,65.618,71.887,62027.69384,4458984.827,0.0098999,0.01216989,0.0106139,0.01156339,12752.35531,147.4604579,
173,67.484,75.5,71.731,71.586,40832.82842,2923058.855,0.01133,0.01218332,0.01150669,0.01152151,6626.202239,76.34385536,
174,61.053,73.588,71.487,62.229,30519.01727,1899167.926,0.01064641,0.01165195,0.01152151,0.01070279,6681.701929,71.51285259,
175,60.496,72.258,62.248,71.525,21513.04288,1538720.392,0.01054624,0.0111,0.01075655,0.01100001,3512.81497,38.6409998,
176,67.901,75,71.662,70.014,24383.3626,1707176.749,0.01020001,0.0110635,0.01098748,0.01033712,4109.00944,42.47532366,
177,66.66,70.65,69.91,68.01,11931.6995,811474.8831,0.01004664,0.01045,0.01033791,0.01012204,2880.000568,29.15148095,
178,66.661,68.91,68.251,68.569,6740.493817,462188.9205,0.01002164,0.01038331,0.01012204,0.01011034,1363.099582,13.78140023,
179,60,73,68.512,67.791,41342.71827,2802664.214,0.01008637,0.01099892,0.01013609,0.01060169,3086.291353,32.71990417,
180,62.121,67.746,67.746,65.635,14041.89526,921639.7957,0.01016761,0.01076,0.01063803,0.0104504,1991.809606,20.81520711,
181,60.332,65.935,65.656,60.57,9001.204801,545202.9748,0.01024811,0.01056173,0.01049602,0.01025081,796.3032601,8.162753421,
182,60.353,67.438,60.571,65.876,13225.48748,871242.2135,0.01011213,0.01056803,0.01026648,0.01027967,1543.080087,15.86235408,
183,64.169,66.575,65.876,65.079,5721.156926,372327.1716,0.01004249,0.0102798,0.01025412,0.01012937,997.3239737,10.10226354,
184,62.281,66.847,65.011,65.926,7686.646599,506749.8637,0.00991073,0.01040324,0.0101125,0.00992672,968.4666677,9.61369744,
185,64,71.5,66.1,67.599,12768.24631,863120.6822,0.0097345,0.01007129,0.00992175,0.00993086,1907.133409,18.93947489,
186,66.24,71,67.599,67.339,5901.994806,397434.4282,0.00992023,0.01022551,0.00993086,0.01001823,1138.848337,11.40924457,
187,66.933,69.619,67.477,68.431,5249.247865,359211.2807,0.00987921,0.01026405,0.01005815,0.00999674,1830.164342,18.29567708,
188,66.022,68.867,68.681,66.93,5106.870623,341802.8508,0.00979574,0.01002855,0.01001849,0.00991861,676.5203205,6.710141216,
189,66.912,73.25,67.11,73.25,13080.17954,958123.1511,0.00981001,0.01013194,0.00994125,0.01002571,1485.025365,14.88843365,
190,69.973,76.998,73.381,72.087,20619.54373,1486401.049,0.00984314,0.01023899,0.00997828,0.01007411,2605.735113,26.25046216,
191,71.094,76.795,72.084,75.615,7540.790744,570196.8921,0.00990191,0.01038191,0.01004063,0.01026599,919.3585003,9.438125171,
192,74.243,84.42,75.714,83.057,28661.001,2380496.76,0.01016935,0.01160636,0.01028896,0.01135513,5290.701529,60.07660366,
193,70.06,83.491,83.052,74.552,21370.7416,1593231.528,0.01034855,0.01142219,0.011385,0.01083395,3121.538137,33.8185881,
194,73.064,77.842,74.181,74.993,10146.84039,760942.001,0.01072315,0.01120124,0.01078988,0.01094896,1630.305501,17.85014972,
195,73.05,78.739,75.212,74.201,6863.997869,509315.5059,0.01073493,0.01099827,0.01095951,0.0107683,1129.218014,12.15975834,
196,70.21,74.216,74.216,73.479,8140.195093,598133.3952,0.01058326,0.01089535,0.01073333,0.01066714,1509.902967,16.10634633,
197,72.096,74.787,73.555,72.354,4641.83359,335855.2276,0.01050001,0.01079144,0.01069064,0.01053712,1314.936453,13.8556432,
198,69.357,73.792,72.185,69.768,7058.693712,492470.9429,0.01050513,0.01074834,0.01055137,0.01069846,1301.017604,13.91888479,
